game_official_name,game_short_name,game_release_date,series_universe,platform_official_name,platform_short_name,platform_brand,platform_release_date
Castle of Illusion Starring Mickey Mouse,Castle of Illusion,1991-02-01,Castle of Illusion,Sega Master System,Master System,SEGA,1987-09-01
Champions of Europe,Champions of Europe,1992-06-01,Champions of Europe,Sega Master System,Master System,SEGA,1987-09-01
Choplifter,Choplifter,1987-08-01,Choplifter,Sega Master System,Master System,SEGA,1987-09-01
Columns,Columns,1990-01-01,Columns,Sega Master System,Master System,SEGA,1987-09-01
Cool Spot,Cool Spot,1993-11-01,Cool Spot,Sega Master System,Master System,SEGA,1987-09-01
Crash Dummies,Crash Dummies,1993-01-01,Crash Dummies,Sega Master System,Master System,SEGA,1987-09-01
Cross Snake,Cross Snake,2021-05-13,Cross Snake,Sega Master System,Master System,SEGA,1987-09-01
Cyborg Hunter,Cyborg Hunter,1988-01-01,Cyborg Hunter,Sega Master System,Master System,SEGA,1987-09-01
Daffy Duck in Hollywood,Daffy Duck,1994-02-01,Daffy Duck,Sega Master System,Master System,SEGA,1987-09-01
Das Dschungelbuch,Das Dschungelbuch,1993-01-01,Das Dschungelbuch,Sega Master System,Master System,SEGA,1987-09-01
Deep Duck Trouble Starring Donald Duck,Donald Duck,1994-01-01,Donald Duck,Sega Master System,Master System,SEGA,1987-09-01
Der König der Löwen,Der König der Löwen,1994-11-04,Der König der Löwen,Sega Master System,Master System,SEGA,1987-09-01
Desert Speedtrap starring Road Runner and Wile E. Coyote,Desert Speedtrap,1994-05-16,Desert Speedtrap,Sega Master System,Master System,SEGA,1987-09-01
Dick Tracy,Dick Tracy,1990-01-01,Dick Tracy,Sega Master System,Master System,SEGA,1987-09-01
Disney's Aladdin,Aladdin,1994-12-31,Disney,Sega Master System,Master System,SEGA,1987-09-01
Disney's Le Livre de la Jungle,Le Livre de la Jungle,1993-01-01,Disney,Sega Master System,Master System,SEGA,1987-09-01
Disney's Le Roi Lion,Le Roi Lion,1994-01-01,Disney,Sega Master System,Master System,SEGA,1987-09-01
Double Dragon,Double Dragon,1988-01-01,Double Dragon,Sega Master System,Master System,SEGA,1987-09-01
Dragon: The Bruce Lee Story,The Bruce Lee Story,1994-01-01,Dragon,Sega Master System,Master System,SEGA,1987-09-01
Dynamite Duke,Dynamite Duke,1989-01-01,Dynamite Duke,Sega Master System,Master System,SEGA,1987-09-01
E-SWAT,E-SWAT,1989-01-01,E-SWAT,Sega Master System,Master System,SEGA,1987-09-01
Enduro Racer,Enduro Racer,1987-08-01,Enduro Racer,Sega Master System,Master System,SEGA,1987-09-01
F-16 Fighter,F-16 Fighter,1985-01-01,F-16 Fighter,Sega Master System,Master System,SEGA,1987-09-01
Fantasy Zone,Fantasy Zone,1987-08-01,Fantasy Zone,Sega Master System,Master System,SEGA,1987-09-01
G-LOC: Air Battle,G-LOC,1991-01-01,G-LOC,Sega Master System,Master System,SEGA,1987-09-01
Galaxy Force,Galaxy Force,1989-01-01,Galaxy Force,Sega Master System,Master System,SEGA,1987-09-01
Ghost House,Ghost House,1987-08-01,Ghost House,Sega Master System,Master System,SEGA,1987-09-01
Ghostbusters,Ghostbusters,1987-01-01,Ghostbusters,Sega Master System,Master System,SEGA,1987-09-01
Ghouls'n Ghosts,Ghouls'n Ghosts,1991-04-01,Ghouls'n Ghosts,Sega Master System,Master System,SEGA,1987-09-01
Global Defense,Global Defense,1988-04-01,Global Defense,Sega Master System,Master System,SEGA,1987-09-01
Golden Axe,Golden Axe,1990-01-01,Golden Axe,Sega Master System,Master System,SEGA,1987-09-01
Great Baseball,Great Baseball,1987-01-01,Great Baseball,Sega Master System,Master System,SEGA,1987-09-01
Great Basketball,Great Basketball,1987-06-01,Great Basketball,Sega Master System,Master System,SEGA,1987-09-01
Great Football,Great Football,1987-07-01,Great Football,Sega Master System,Master System,SEGA,1987-09-01
Great Golf,Great Golf,1987-01-01,Great Golf,Sega Master System,Master System,SEGA,1987-09-01
Great Ice Hockey,Great Ice Hockey,1987-01-01,Great Ice Hockey,Sega Master System,Master System,SEGA,1987-09-01
Great Soccer,Great Soccer,1986-01-01,Great Soccer,Sega Master System,Master System,SEGA,1987-09-01
Great Volleyball,Great Volleyball,1987-01-01,Great Volleyball,Sega Master System,Master System,SEGA,1987-09-01
Hang On,Hang On,1986-01-01,Hang On,Sega Master System,Master System,SEGA,1987-09-01
Heroes of the Lance,Heroes of the Lance,1991-01-01,Heroes of the Lance,Sega Master System,Master System,SEGA,1987-09-01
Impossible Mission,Impossible Mission,1988-12-31,Impossible Mission,Sega Master System,Master System,SEGA,1987-09-01
Indiana Jones and the Last Crusade: The Action Game,Indiana Jones and the Last Crusade,1990-11-29,Indiana Jones,Sega Master System,Master System,SEGA,1987-09-01
James Pond 2: Codename RoboCod,James Pond 2,1993-01-01,James Pond,Sega Master System,Master System,SEGA,1987-09-01
Joe Montana Football,Joe Montana Football,1990-01-01,Joe Montana Football,Sega Master System,Master System,SEGA,1987-09-01
Kung Fu Kid,Kung Fu Kid,1988-01-01,Kung Fu Kid,Sega Master System,Master System,SEGA,1987-09-01
Land of Illusion Starring Mickey Mouse,Land of Illusion Starring Mickey Mouse,1992-09-25,Mickey Mouse,Sega Master System,Master System,SEGA,1987-09-01
Laser Ghost,Laser Ghost,1991-12-01,Laser Ghost,Sega Master System,Master System,SEGA,1987-09-01
Lemmings,Lemmings,1992-11-20,Lemmings,Sega Master System,Master System,SEGA,1987-09-01
Les Schtroumpfs,Les Schtroumpfs,1994-01-01,Les Schtroumpfs,Sega Master System,Master System,SEGA,1987-09-01
Les Schtroumpfs: Autour du Monde,Les Schtroumpfs 2,1996-01-01,Les Schtroumpfs,Sega Master System,Master System,SEGA,1987-09-01
Machine Gun Joe,Machine Gun Joe,1986-04-21,Machine Gun Joe,Sega Master System,Master System,SEGA,1987-09-01
Marksman Shooting / Trap Shooting / Safari Hunt,Marksman Shooting / Trap Shooting / Safari Hunt,1986-01-01,Marksman,Sega Master System,Master System,SEGA,1987-09-01
Master of Darkness,Master of Darkness,1992-12-01,Master of Darkness,Sega Master System,Master System,SEGA,1987-09-01
Michael Jackson's Moonwalker,Michael Jackson,1990-01-01,Michael Jackson,Sega Master System,Master System,SEGA,1987-09-01
My Hero,My Hero,1986-01-01,My Hero,Sega Master System,Master System,SEGA,1987-09-01
Olympic Gold: Barcelona '92 [Jeu A Tirage Limitée],Olympic Gold,1992-01-01,Olympics,Sega Master System,Master System,SEGA,1987-09-01
Out Run,Out Run,1987-10-01,Out Run,Sega Master System,Master System,SEGA,1987-09-01
OutRun Europa,OutRun Europa,1991-01-01,OutRun Europa,Sega Master System,Master System,SEGA,1987-09-01
Paperboy,Paperboy,1990-01-01,Paperboy,Sega Master System,Master System,SEGA,1987-09-01
Parlour Games,Parlour Games,1990-11-01,Parlour Games,Sega Master System,Master System,SEGA,1987-09-01
Power Strike II,Power Strike II,1993-09-01,Power Strike II,Sega Master System,Master System,SEGA,1987-09-01
Pro Wrestling,Pro Wrestling,1986-12-01,Pro Wrestling,Sega Master System,Master System,SEGA,1987-09-01
Psycho Fox,Psycho Fox,1990-05-01,Psycho Fox,Sega Master System,Master System,SEGA,1987-09-01
R.C. Grand Prix,R.C. Grand Prix,1989-01-01,R.C. Grand Prix,Sega Master System,Master System,SEGA,1987-09-01
Rainbow Islands: Story of the Bubble Bobble 2,Rainbow Islands: Story of the Bubble Bobble 2,1993-01-01,Rainbow Islands: Story of the Bubble Bobble 2,Sega Master System,Master System,SEGA,1987-09-01
Rampage,Rampage,1998-01-01,Rampage,Sega Master System,Master System,SEGA,1987-09-01
Road Rash,Road Rash,1994-03-01,Road Rash,Sega Master System,Master System,SEGA,1987-09-01
Shadow Dancer: The Secret of Shinobi,Shadow Dancer,1991-01-01,Shadow Dancer,Sega Master System,Master System,SEGA,1987-09-01
Shanghai,Shanghai,1988-10-01,Shanghai,Sega Master System,Master System,SEGA,1987-09-01
Shinobi,Shinobi,1988-09-01,Shinobi,Sega Master System,Master System,SEGA,1987-09-01
Sonic Chaos,Sonic Chaos,1993-10-25,Sonic Chaos,Sega Master System,Master System,SEGA,1987-09-01
Sonic the Hedgehog,Sonic,1991-12-28,Sonic the Hedgehog,Sega Master System,Master System,SEGA,1987-09-01
Sonic the Hedgehog 2,Sonic 2,1992-10-16,Sonic the Hedgehog,Sega Master System,Master System,SEGA,1987-09-01
Speedball (Image Works),Speedball,1991-03-01,Speedball,Sega Master System,Master System,SEGA,1987-09-01
Spider - Man,Spider - Man,1991-08-01,Spider - Man,Sega Master System,Master System,SEGA,1987-09-01
Spy vs. Spy,Spy vs. Spy,1988-10-01,Spy vs. Spy,Sega Master System,Master System,SEGA,1987-09-01
Star Wars,Star Wars,1994-01-01,Star Wars,Sega Master System,Master System,SEGA,1987-09-01
Streets of Rage,Streets of Rage,1993-06-07,Streets of Rage,Sega Master System,Master System,SEGA,1987-09-01
Streets of Rage II,Streets of Rage II,1993-12-01,Streets of Rage,Sega Master System,Master System,SEGA,1987-09-01
Super Kick Off,Super Kick Off,1991-12-01,Super Kick Off,Sega Master System,Master System,SEGA,1987-09-01
Super Monaco GP,Super Monaco GP,1990-09-01,Super Monaco GP,Sega Master System,Master System,SEGA,1987-09-01
Super Tennis,Super Tennis,1986-06-01,Super Tennis,Sega Master System,Master System,SEGA,1987-09-01
Teddy Boy,Teddy Boy,1985-10-20,Teddy Boy,Sega Master System,Master System,SEGA,1987-09-01
The Flash,The Flash,1993-10-01,The Flash,Sega Master System,Master System,SEGA,1987-09-01
The Incredible Hulk,The Incredible Hulk,1994-01-01,The Incredible Hulk,Sega Master System,Master System,SEGA,1987-09-01
The Lucky Dime Caper Starring Donald Duck,Donald Duck,1991-12-20,Donald Duck,Sega Master System,Master System,SEGA,1987-09-01
The Ninja,The Ninja,1986-12-01,The Ninja,Sega Master System,Master System,SEGA,1987-09-01
The Ottifants,The Ottifants,1993-01-01,The Ottifants,Sega Master System,Master System,SEGA,1987-09-01
Transbot,Transbot,1986-10-01,Transbot,Sega Master System,Master System,SEGA,1987-09-01
Ultima IV: Quest of the Avatar,Ultima IV,1990-01-01,Ultima,Sega Master System,Master System,SEGA,1987-09-01
Voyage - a Sorceress Vacation,Voyage,2021-02-22,Voyage - a Sorceress Vacation,Sega Master System,Master System,SEGA,1987-09-01
Wimbledon,Wimbledon,1992-07-16,Wimbledon,Sega Master System,Master System,SEGA,1987-09-01
Winter Olympics Lillehammer '94 [Série Limitée],Winter Olympics,1994-01-01,Olympics,Sega Master System,Master System,SEGA,1987-09-01
Wonder Boy in Monster Land,Wonder Boy in Monster Land,1988-08-01,Wonder Boy,Sega Master System,Master System,SEGA,1987-09-01
Wonder Boy in Monster World,Wonder Boy in Monster World,1993-08-01,Wonder Boy,Sega Master System,Master System,SEGA,1987-09-01
World Class Leader Board,World Class Leader Board,1991-01-01,World Class Leader Board,Sega Master System,Master System,SEGA,1987-09-01
World Cup USA 94 [Série Limitée],World Cup USA 94 [Série Limitée],1993-01-01,World Cup,Sega Master System,Master System,SEGA,1987-09-01
World Grand Prix,World Grand Prix,1987-11-01,World Grand Prix,Sega Master System,Master System,SEGA,1987-09-01
World Soccer,World Soccer,1987-10-01,World Soccer,Sega Master System,Master System,SEGA,1987-09-01
World Soccer (Edizione Speciale),World Soccer,1990-01-01,World Soccer,Sega Master System,Master System,SEGA,1987-09-01
Xenon 2: Megablast,Xenon 2,1991-10-01,Xenon,Sega Master System,Master System,SEGA,1987-09-01
XSpelunker,XSpelunker,2017-05-05,XSpelunker,Sega Master System,Master System,SEGA,1987-09-01
76 in 1 (bootleg),76 in 1 (bootleg),1996-01-19,76 in 1 (bootleg),Nintendo Entertainment System,NES,Nintendo,1987-09-01
Adventure of Link,Adventure of Link,1988-12-01,The Legend of Zelda,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Balloon Fight,Balloon Fight,1986-12-15,Balloon Fight,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Battletoads,Battletoads,1993-02-18,Battletoads,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Clu Clu Land,Clu Clu Land,1987-02-15,Clu Clu Land,Nintendo Entertainment System,NES,Nintendo,1987-09-01
D'veel'ng,D'veel'ng,2015-05-05,D'veel'ng,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Devil World,Devil World,1987-07-15,Devil World,Nintendo Entertainment System,NES,Nintendo,1987-09-01
DIE SCHLUMPFE,DIE SCHLUMPFE,1994-01-01,DIE SCHLUMPFE,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Donkey Kong,Donkey Kong,1986-10-15,Donkey Kong,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Donkey Kong 3,Donkey Kong 3,1987-09-01,Donkey Kong,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Donkey Kong acarde classic the original,Donkey Kong acarde classic the original,1981-11-01,Donkey Kong,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Donkey Kong Jr.,Donkey Kong Jr.,1987-06-15,Donkey Kong.,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Duck Hunt,Duck Hunt,1987-08-15,Duck Hunt,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Excitebike,Excitebike,1986-09-01,Excitebike,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Formula 1 Sensation,Formula 1,1993-01-29,Formula 1,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Golf,Golf,1986-11-15,Golf,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Gumshoe,Gumshoe,1988-05-15,Gumshoe,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Hogan's Alley,Hogan's Alley,1987-12-15,Hogan's Alley,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Home Alone II,Home Alone II,1992-10-23,Home Alone II,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Ice Climber,Ice Climber,1987-09-01,Ice Climber,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Kid Icarus,Kid Icarus,1988-02-15,Kid Icarus,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Konami Hyper Soccer,Konami Hyper Soccer,1992-01-01,Konami,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Kung Fu,Kung Fu,1987-04-15,Kung Fu,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Little Samson,Little Samson,1993-03-18,Little Samson,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Mach Rider,Mach Rider,1987-03-15,Mach Rider,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Mario Bros.,Mario Bros,1986-09-01,Super Mario,Nintendo Entertainment System,NES,Nintendo,1987-09-01
McDonald's Land,McDonald's Land,1993-05-19,McDonald's Land,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Mega Man,Mega Man,1989-12-13,Mega Man,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Mega Man 2,Mega Man 2,1990-12-14,Mega Man,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Mega Man 3,Mega Man 3,1992-06-23,Mega Man,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Mega Man 4,Mega Man 4,1993-01-21,Mega Man,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Mega Man 5,Mega Man 5,1993-03-10,Mega Man,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Metroid,Metroid,1988-01-15,Metroid,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Mike Tyson's Punch-Out!!,Mike Tyson's Punch-Out!!,1987-12-15,Punch-Out!!,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Mojon Twins Gran Sabiduría – 31 in 1 Real Game! Vol 2,Mojon Twins Gran Sabiduría – 31 in 1 Real Game! Vol 2,2019-05-05,Mojon Twins Gran Sabiduría,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Olympic IQ,Olympic IQ,1991-01-01,Olympic IQ,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Paaman Part 2 Himitsu Kessha Madoodan o Taose!,Paaman Part 2,1991-12-14,Paaman,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Panda World,Panda World,2000-01-01,Panda World,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Pinball,Pinball,1986-09-01,Pinball,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Popeye,Popeye,1986-09-01,Popeye,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Pro Wrestling,Pro Wrestling,1987-09-15,Pro Wrestling,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Probotector,Probotector,1990-12-28,Probotector,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Probotector II: Return of the Evil Forces,Probotector II,1992-02-12,Probotector,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Reknum - Souls Adventure,Reknum - Souls Adventure,2021-04-30,Reknum,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Reknum - The Awakening,Reknum - The Awakening,2019-04-19,Reknum,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Road Fighter,Road Fighter,1985-07-11,Road Fighter,Nintendo Entertainment System,NES,Nintendo,1987-09-01
RoboCop,RoboCop,1989-08-25,RoboCop,Nintendo Entertainment System,NES,Nintendo,1987-09-01
RollerGames,RollerGames,1991-10-24,RollerGames,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Silent Service,Silent Service,1989-12-01,Silent Service,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Slalom,Slalom,1987-10-15,Slalom,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Soccer,Soccer,1987-01-15,Soccer,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Super Mario Bros,Super Mario,1987-05-15,Super Mario,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Super Mario Bros 2,Super Mario 2,1989-04-28,Super Mario,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Super Mario Bros 3,Super Mario 3,1991-08-29,Super Mario,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Super Mario Bros.,Super Mario Bros.,1987-05-15,Super Mario,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Teenage Mutant Ninja Turtles,TMNT,1989-06-25,Teenage Mutant Ninja Turtles,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Tennis,Tennis,1986-09-01,Tennis,Nintendo Entertainment System,NES,Nintendo,1987-09-01
The Adventures of Dr. Franken,Dr. Franken,1992-12-01,Dr. Franken,Nintendo Entertainment System,NES,Nintendo,1987-09-01
The Legend of Zelda,The Legend of Zelda,1987-08-22,The Legend of Zelda,Nintendo Entertainment System,NES,Nintendo,1987-09-01
The Lion King,The Lion King,1995-05-25,The Lion King,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Time Diver: Avenger,Time Diver,1994-01-01,Time Diver,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Urban Champion,Urban Champion,1986-08-01,Urban Champion,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Virus,Virus,1990-01-01,Virus,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Volleyball,Volleyball,1987-11-15,Volleyball,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Wild Gunman,Wild Gunman,1988-02-15,Wild Gunman,Nintendo Entertainment System,NES,Nintendo,1987-09-01
Wrecking Crew,Wrecking Crew,1985-10-18,Wrecking Crew,Nintendo Entertainment System,NES,Nintendo,1987-09-01
90 Minutes: European Prime Goal,90 Minutes,1995-08-04,90 Minutes,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Alien 3,Alien 3,1993-01-01,Alien,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Arcade's Greatest Hits Atari Collection 1,Atari Collection 1,1997-08-30,Atari Collection,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Arkanoid: Doh It Again,Arkanoid,1997-01-01,Arkanoid,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Asterix,Asterix,1993-01-01,Asterix,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Asterix & Obelix,Asterix & Obelix,1995-09-28,Asterix,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Battle Clash,Battle Clash,1992-10-01,Battle Clash,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Battletoads & Double Dragon,Battletoads & Double Dragon,1993-12-01,Battletoads & Double Dragon,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Bishoujo Senshi Sailor Moon,Bishoujo Senshi Sailor Moon,1993-08-27,Bishoujo Senshi Sailor Moon,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Bubsy in: Claws Encounters of the Furred Kind,Bubsy,1993-05-01,Bubsy,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Bugs Bunny Rabbit Rampage,Bugs Bunny,1994-02-15,Bugs Bunny,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Castlevania Vampire's Kiss,Castlevania,1996-02-22,Castlevania,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Champions World Class Soccer,World Class Soccer,1994-11-04,Champions World Class Soccer,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Choplifter III,Choplifter III,1994-01-01,Choplifter,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Cliffhanger,Cliffhanger,1993-12-10,Cliffhanger,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Clock Tower,Clock Tower,1995-07-14,Clock Tower,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Dennis,Dennis,1993-12-01,Dennis,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Desert Strike: Return to the Gulf,Desert Strike,1992-10-01,Desert Strike,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Disney's Aladdin,Aladdin,1993-11-21,Disneyladdin,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Disney's Goof Troop,Goof Troop,1993-11-25,Disney,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Disney's The Jungle Book,The Jungle Book,1994-07-15,Disney,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Disney's Toy Story,Toy Story,1996-06-01,Disney,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Donald in Maui Mallard,Donald,1996-11-28,Donald,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Donkey Kong Country,Donkey Kong Country,1994-11-21,Donkey Kong,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Dragon's Lair,Dragon's Lair,1993-01-01,Dragon's Lair,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Equinox,Equinox,1994-03-11,Equinox,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Exhaust Heat,Exhaust Heat,1992-02-21,Exhaust Heat,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
F-Zero,F-Zero,1992-06-04,F-Zero,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
FIFA 97,FIFA 97,1996-09-06,FIFA,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
FIFA International Soccer,FIFA International Soccer,1994-05-01,FIFA International Soccer,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
FIFA Soccer 96,FIFA 96,1995-06-01,FIFA,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
FIFA: Road to World Cup 98,World Cup 98,1997-01-01,FIFA,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
GP-1,GP-1,1993-10-29,GP-1,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Illusion of Time,Illusion of Time,1993-11-27,Illusion of Time,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
International Superstar Soccer,ISS,1995-06-01,International Superstar Soccer,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
International Tennis Tour,International Tennis Tour,1993-11-01,International Tennis Tour,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Jungle Strike: The Sequel To Desert Strike,Jungle Strike,1993-01-01,Jungle Strike,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Kick Off,Kick Off,1992-12-25,Kick Off,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Killer Instinct,Killer Instinct,1995-08-30,Killer Instinct,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Kirby's Dream Course,Kirby's Dream Course,1995-02-28,Kirby,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Krusty's Super Fun House,Krusty's Super Fun House,1992-06-01,Krusty's Super Fun House,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Le Roi Lion,Le Roi Lion,1994-12-08,Le Roi Lion,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Legend,Legend,1994-12-21,Legend,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Les Schtroumpfs Autour du Monde,Les Schtroumpfs Autour du Monde,1996-10-01,Les Schtroumpfs Autour du Monde,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Looney Tunes: Road Runner,Looney Tunes,1993-09-30,Looney Tunes,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Lothar Matthaus Super Soccer,Lothar Matthaus Super Soccer,1995-01-01,Lothar Matthaus Super Soccer,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Lucky Luke,Lucky Luke,1997-10-27,Lucky Luke,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Lufia,Lufia,1996-08-31,Lufia,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
Magic Boy,Magic Boy,1996-01-08,Magic Boy,Super Nintendo Entertainment System,SNES,Nintendo,1992-04-11
